,dex_num,name,generation,types,abilities,varieties,female_rate,has_gender_differences,capture_rate,growth_rate,base_happiness,hatch_counter,egg_groups,hp,attack,defense,sp_attack,sp_defense,speed,evolves_from,evolutionary_stage,is_starter,is_pseudo,is_legendary,is_mythical,is_baby,is_ultra_beast,is_paradox,color,shape,height_m,weight_kg
0,1,bulbasaur,1,['grass' 'poison'],[],[],1,False,45,medium-slow,50,20,['monster' 'plant'],45,49,49,65,65,45,,0,True,False,False,False,False,False,False,green,quadruped,0.7,6.9
1,2,ivysaur,1,['grass' 'poison'],[],[],1,False,45,medium-slow,50,20,['monster' 'plant'],60,62,63,80,80,60,bulbasaur,1,True,False,False,False,False,False,False,green,quadruped,1.0,13.0
2,3,venusaur,1,['grass' 'poison'],[],['venusaur-mega' 'venusaur-gmax'],1,True,45,medium-slow,50,20,['monster' 'plant'],80,82,83,100,100,80,ivysaur,2,True,False,False,False,False,False,False,green,quadruped,2.0,100.0
3,3,venusaur-mega,1,['grass' 'poison'],[],['venusaur' 'venusaur-gmax'],1,True,45,medium-slow,50,20,['monster' 'plant'],80,100,123,122,120,80,ivysaur,2,True,False,False,False,False,False,False,green,quadruped,2.4,155.5
4,3,venusaur-gmax,1,['grass' 'poison'],[],['venusaur' 'venusaur-mega'],1,True,45,medium-slow,50,20,['monster' 'plant'],80,82,83,100,100,80,ivysaur,2,True,False,False,False,False,False,False,green,quadruped,24.0,1000.0
5,4,charmander,1,['fire'],[],[],1,False,45,medium-slow,50,20,['monster' 'dragon'],39,52,43,60,50,65,,0,True,False,False,False,False,False,False,red,upright,0.6,8.5
6,5,charmeleon,1,['fire'],[],[],1,False,45,medium-slow,50,20,['monster' 'dragon'],58,64,58,80,65,80,charmander,1,True,False,False,False,False,False,False,red,upright,1.1,19.0
7,6,charizard,1,['fire' 'flying'],[],['charizard-mega-x' 'charizard-mega-y' 'charizard-gmax'],1,False,45,medium-slow,50,20,['monster' 'dragon'],78,84,78,109,85,100,charmeleon,2,True,False,False,False,False,False,False,red,upright,1.7,90.5
8,6,charizard-mega-x,1,['fire' 'dragon'],[],['charizard' 'charizard-mega-y' 'charizard-gmax'],1,False,45,medium-slow,50,20,['monster' 'dragon'],78,130,111,130,85,100,charmeleon,2,True,False,False,False,False,False,False,red,upright,1.7,110.5
9,6,charizard-mega-y,1,['fire' 'flying'],[],['charizard' 'charizard-mega-x' 'charizard-gmax'],1,False,45,medium-slow,50,20,['monster' 'dragon'],78,104,78,159,115,100,charmeleon,2,True,False,False,False,False,False,False,red,upright,1.7,100.5
10,6,charizard-gmax,1,['fire' 'flying'],[],['charizard' 'charizard-mega-x' 'charizard-mega-y'],1,False,45,medium-slow,50,20,['monster' 'dragon'],78,84,78,109,85,100,charmeleon,2,True,False,False,False,False,False,False,red,upright,28.0,1000.0
11,7,squirtle,1,['water'],[],[],1,False,45,medium-slow,50,20,['monster' 'water1'],44,48,65,50,64,43,,0,True,False,False,False,False,False,False,blue,upright,0.5,9.0
